Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,PICTURE,
2007,14,14,LAC,Al Thornton,Florida State University,4,296,8274,3527,1233,353,0.452,0.293,0.747,28,11.9,4.2,1.2,6.1,0.035,-3.5,-3.1,http://d2cwpp38twqe55.cloudfront.net/images-011/players/thornal01.png,
2007,15,15,DET,Rodney Stuckey,Eastern Washington University,9,571,16341,7568,1727,2150,0.425,0.301,0.828,28.6,13.3,3,3.8,27.4,0.081,-1.1,3.6,http://d2cwpp38twqe55.cloudfront.net/images-011/players/stuckro01.png,
2007,16,16,WAS,Nick Young,University of Southern California,9,543,12818,6615,1100,570,0.423,0.377,0.834,23.6,12.2,2,1,14.3,0.053,-3.5,-5,http://d2cwpp38twqe55.cloudfront.net/images-011/players/youngni01.png,
2007,17,17,NJN,Sean Williams,Boston College,4,137,1978,581,472,47,0.511,0,0.624,14.4,4.2,3.4,0.3,3,0.073,-2,0,http://d2cwpp38twqe55.cloudfront.net/images-011/players/willise01.png,
2007,18,18,GSW,Marco Belinelli,,9,526,12081,5005,1065,860,0.428,0.388,0.822,23,9.5,2,1.6,20.1,0.08,-1.4,2,http://d2cwpp38twqe55.cloudfront.net/images-011/players/belinma01.png,
2007,19,19,LAL,Javaris Crittenton,Georgia Institute of Technology,2,113,1853,595,276,201,0.442,0.231,0.638,16.4,5.3,2.4,1.8,0.1,0.002,-4.3,-1.1,,
2007,20,20,MIA,Jason Smith,Colorado State University,8,431,7567,2727,1540,335,0.463,0.308,0.786,17.6,6.3,3.6,0.8,10.4,0.066,-2.7,-1.2,http://d2cwpp38twqe55.cloudfront.net/images-011/players/smithja02.png,
2007,21,21,PHI,Daequan Cook,Ohio State University,6,328,5993,2114,703,243,0.369,0.359,0.813,18.3,6.4,2.1,0.7,4.9,0.039,-3.6,-2.4,http://d2cwpp38twqe55.cloudfront.net/images-011/players/cookda02.png,
2007,22,22,CHA,Jared Dudley,Boston College,9,616,14863,5210,2090,938,0.468,0.398,0.739,24.1,8.5,3.4,1.5,34,0.11,1.4,12.8,http://d2cwpp38twqe55.cloudfront.net/images-011/players/dudleja01.png,
2007,23,23,NYK,Wilson Chandler,DePaul University,8,445,13833,6098,2356,784,0.442,0.339,0.777,31.1,13.7,5.3,1.8,20,0.069,-0.7,4.6,http://d2cwpp38twqe55.cloudfront.net/images-011/players/chandwi01.png,
2007,24,24,PHO,Rudy Fernandez,,4,249,5965,2254,608,554,0.399,0.36,0.84,24,9.1,2.4,2.2,14.2,0.114,1.8,5.7,http://d2cwpp38twqe55.cloudfront.net/images-011/players/fernaru01.png,
2007,25,25,UTA,Morris Almond,Rice University,3,38,361,119,46,12,0.381,0.292,0.743,9.5,3.1,1.2,0.3,0,0.005,-6.4,-0.4,,
2007,26,26,HOU,Aaron Brooks,University of Oregon,8,492,11452,5485,921,1631,0.415,0.371,0.845,23.3,11.1,1.9,3.3,18.5,0.078,-1.3,2,http://d2cwpp38twqe55.cloudfront.net/images-011/players/brookaa01.png,
2007,27,27,DET,Arron Afflalo,University of California Los Angeles,9,594,16715,6810,1783,1163,0.453,0.382,0.818,28.1,11.5,3,2,30,0.086,-0.6,5.9,http://d2cwpp38twqe55.cloudfront.net/images-011/players/afflaar01.png,
2007,28,28,SAS,Tiago Splitter,,6,327,6425,2662,1695,401,0.558,0,0.692,19.6,8.1,5.2,1.2,23.9,0.179,2.1,6.6,http://d2cwpp38twqe55.cloudfront.net/images-011/players/splitti01.png,
2007,29,29,PHO,Alando Tucker,University of Wisconsin,3,51,426,211,49,16,0.423,0.294,0.783,8.4,4.1,1,0.3,0.4,0.045,-6.7,-0.5,http://d2cwpp38twqe55.cloudfront.net/images-011/players/tuckeal02.png,
